City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,rabigh,22.7986,39.0349,304.13,63,7,5.47,SA,1699280764
298,binkolo,8.9533,-11.9779,304.92,62,31,0.85,SL,1699280765
299,san jose del guaviare,2.5729,-72.6459,298.45,87,100,2.32,CO,1699280766
300,hilton,43.2881,-77.7933,280.47,77,100,1.79,US,1699280767
301,vadso,70.0744,29.7487,273.64,93,75,2.57,NO,1699280768
302,laboe,54.4,10.2167,283.26,81,100,6.17,DE,1699280769
303,plastun,44.7561,136.2939,276.82,89,100,5.52,RU,1699280770
304,valley center,33.2184,-117.0342,292.33,50,0,1.83,US,1699280771
305,arish,31.1316,33.7984,301.25,54,0,3.09,EG,1699280772
306,jiaojiang,28.6803,121.4428,288.06,60,100,2.96,CN,1699280773
307,ebon,4.582,168.6964,300.89,78,100,3.79,MH,1699280774
308,new smyrna beach,29.0258,-80.927,295.98,83,0,3.09,US,1699280775
309,filadelfia,39.9523,-75.1638,284.69,62,75,4.12,US,1699280616
310,shiprock,36.7855,-108.687,277.34,36,48,3.25,US,1699280778
311,aral,40.5156,81.2636,284.57,22,89,2.5,CN,1699280779
312,mossel bay,-34.1831,22.146,293.11,72,82,3.15,ZA,1699280780
313,santa rosa,14.3122,121.1114,302.14,88,99,3.77,PH,1699280781
314,nizhneudinsk,54.9076,99.0276,263.61,91,100,1.38,RU,1699280782
315,dubbo,-32.25,148.6167,289.22,67,48,7.72,AU,1699280783
316,praia da vitoria,38.7333,-27.0667,292.29,52,20,2.75,PT,1699280784
317,mangrol,21.1167,70.1167,301.09,65,86,2.73,IN,1699280527
318,phan rang-thap cham,11.5667,108.9833,298.59,85,99,2.72,VN,1699280786
319,gadzhiyevo,69.2551,33.3362,274.11,85,95,5.52,RU,1699280788
320,isangel,-19.55,169.2667,295.95,83,96,4.56,VU,1699280789
321,saint-philippe,-21.3585,55.7679,294.88,81,96,5.42,RE,1699280790
322,sardarapat,40.1321,44.0097,291.09,38,7,2.21,AM,1699280791
323,faranah,10.0404,-10.7434,305.93,43,28,2.02,GN,1699280792
324,labrador city,52.9463,-66.9114,267.1,79,75,6.17,CA,1699280793
325,port blair,11.6667,92.75,301.3,79,100,2.76,IN,1699280794
326,tralee,52.2704,-9.7026,284.29,76,20,4.12,IE,1699280795
327,dunedin,-45.8742,170.5036,283.04,66,63,1.34,NZ,1699280796
328,durban,-29.8579,31.0292,298.66,85,56,5.83,ZA,1699280224
329,kruisfontein,-34.0033,24.7314,291.97,66,89,5.77,ZA,1699280798
330,as saffaniyah,27.9708,48.73,299.65,49,32,3.98,SA,1699280799
331,newport,51.5877,-2.9984,286.46,79,52,8.03,GB,1699280714
332,kuraymah,18.55,31.85,310.3,18,2,0.6,SD,1699280801
333,brookings,44.3114,-96.7984,280.4,90,0,5.14,US,1699280802
334,la libertad,-2.2333,-80.9,297.96,78,75,4.12,EC,1699280803
335,kirsehir,39.3333,34.1667,291.12,45,0,5.75,TR,1699280805
336,nola,40.922,14.5329,295.1,73,19,3.56,IT,1699280603
337,kiskunhalas,46.434,19.4848,289.05,68,56,3.3,HU,1699280807
338,burela de cabo,43.65,-7.4,286.58,68,39,7.86,ES,1699280808
339,zhob,31.3411,69.4481,290.0,53,100,2.03,PK,1699280809
340,malango,-2.9627,119.9001,292.93,97,46,1.01,ID,1699280810
341,trindade,-16.6494,-49.4889,306.01,32,42,2.81,BR,1699280718
342,peace river,56.2501,-117.286,273.32,100,75,1.54,CA,1699280812
343,paracuru,-3.41,-39.0306,302.1,55,75,5.95,BR,1699280813
344,waingapu,-9.6567,120.2641,299.81,79,74,1.21,ID,1699280814
345,redkino,56.6475,36.2967,284.32,93,100,4.31,RU,1699280815
346,katsuura,35.1333,140.3,295.7,85,100,12.09,JP,1699280817
347,kem',64.9555,34.5793,274.68,100,100,2.04,RU,1699280686
348,martinsicuro,42.8811,13.9145,296.45,38,85,2.97,IT,1699280819
349,hirara,24.8,125.2833,299.07,88,75,8.23,JP,1699280821
350,grand gaube,-20.0064,57.6608,297.8,74,32,2.68,MU,1699280822
351,la'ie,21.6477,-157.9253,299.13,82,74,1.79,US,1699280823
352,oak bay,48.4496,-123.3026,284.99,94,75,3.6,CA,1699280824
353,coahuayana de hidalgo,18.7,-103.6583,297.72,76,9,1.39,MX,1699280825
354,guadalupe y calvo,26.1,-106.9667,285.2,61,98,1.79,MX,1699280826
355,hausjarvi,60.7833,24.9333,280.7,99,100,0.48,FI,1699280827
356,gejiu,23.306,103.1635,284.4,92,35,1.52,CN,1699280828
357,belyy yar,53.6039,91.3903,269.09,63,0,6.0,RU,1699280829
358,kourou,5.1552,-52.6478,305.18,65,39,4.71,GF,1699280830
359,tot'ma,59.9747,42.7642,281.07,90,100,5.33,RU,1699280831
360,caluula,11.9661,50.7569,300.37,71,100,4.62,SO,1699280832
361,vorgashor,67.5833,63.95,267.72,94,100,7.63,RU,1699280833
362,aykhal,66.0,111.5,255.65,100,99,1.82,RU,1699280834
363,novska,45.3406,16.9769,291.54,54,30,3.71,HR,1699280835
364,afaahiti,-17.75,-149.2833,296.08,85,47,5.1,PF,1699280836
365,tofol,5.3248,163.0078,301.28,78,100,7.09,FM,1699280837
